域,臂,定位命中,缺陷数,AUROC,P95阈,召回%,误报%,100%召回误报%
F1,R0_基线_q99,3,15,67.0,23.0,13.3,11.1,100.0
F1,R1_绝对预算K73,3,15,68.9,32.4,20.0,11.1,100.0
F1,R2_K73+入侵屏蔽,2,15,73.3,32.4,20.0,11.1,77.8
F1,R3_K73+干净参考池,5,15,93.0,25.0,86.7,11.1,11.1
F1,R4_K73+屏蔽+干净池,5,15,93.0,25.0,86.7,11.1,11.1
黑纱,B0_K73基线,15,16,98.2,12.3,93.8,5.5,7.3
黑纱,B1_K73+入侵屏蔽,15,16,96.6,14.8,93.8,5.5,9.1
