method,hit,auroc,rec95,fpr95,fpr_at_100,note
PaDiM,14/16,80.0,6.2,5.7,60.4,WRN50 L2+L3，随机降维 100，逐位置高斯；正常帧留一
PatchCore,12/16,73.5,6.2,5.7,83.0,WRN50 L2+L3，记忆库=其他正常帧全部位置 patch（25% 子采样）；正常帧留一
SimpleNet,5/16,97.3,87.5,5.7,20.8,WRN50 L2+L3，适配器+噪声判别器，按机位训练；其正常帧同时在训练集与测试集（对其有利）
PatchCore-DINOv2,15/16,93.3,12.5,5.7,11.3,与本方法同骨干同特征，记忆库=其他正常帧**任意位置** patch（30% 子采样）；正常帧留一
PaDiM +CC评分,14/16,87.6,25.0,5.7,41.5,WRN50 L2+L3，随机降维 100，逐位置高斯；正常帧留一；图级分数改为本方法的 P99 连通域面积规则（cap 按网格等比缩放）
PatchCore +CC评分,13/16,86.6,43.8,5.7,73.6,WRN50 L2+L3，记忆库=其他正常帧全部位置 patch（25% 子采样）；正常帧留一；图级分数改为本方法的 P99 连通域面积规则（cap 按网格等比缩放）
SimpleNet +CC评分,5/16,73.9,37.5,5.7,79.2,WRN50 L2+L3，适配器+噪声判别器，按机位训练；其正常帧同时在训练集与测试集（对其有利）；图级分数改为本方法的 P99 连通域面积规则（cap 按网格等比缩放）
PatchCore-DINOv2 +CC评分,15/16,92.5,62.5,5.7,75.5,与本方法同骨干同特征，记忆库=其他正常帧**任意位置** patch（30% 子采样）；正常帧留一；图级分数改为本方法的 P99 连通域面积规则（cap 按网格等比缩放）
Ours,15/16,98.2,93.8,5.7,7.5,跨帧**同位置** top-1 + 连通域面积；参考池=其他全部帧（含缺陷帧，更难）
