域,臂,定位命中,缺陷数,AUROC,P95阈,召回%,误报%,100%召回误报%
F1,R3_干净池,5,15,93.0,25.0,86.7,11.1,11.1
F1,R5_干净池+外观屏蔽,10,15,84.8,35.2,33.3,11.1,33.3
黑纱,B0_K73基线,15,16,98.2,12.4,93.8,5.7,7.5
黑纱,B2_K73+外观屏蔽,16,16,97.4,14.8,93.8,5.7,9.4
